Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Churn,txn_velocity,engagement_decay,credit_utilisation,product_density,avg_transaction_value,contact_intensity,split
45,0,3,3,1,4,0,32,2,5,1,2948.0,968,1980.0,0.946,7834,86,0.509,0.328,0,2.6875,0.15625,0.3283582089552239,0.0625,91.09302325581395,0.03125,train
33,0,1,2,1,4,0,20,2,2,2,1507.0,0,1507.0,0.723,4698,87,0.851,0.0,0,4.35,0.1,0.0,0.1,54.0,0.1,train
47,1,3,5,2,0,0,36,3,3,4,34516.0,0,34516.0,0.517,2020,33,0.375,0.0,1,0.9166666666666666,0.08333333333333333,0.0,0.08333333333333333,61.21212121212121,0.1111111111111111,train
51,0,3,3,2,4,0,39,5,2,1,4038.0,1237,2801.0,0.61,4188,68,0.545,0.306,0,1.7435897435897436,0.05128205128205128,0.30633977216443786,0.1282051282051282,61.588235294117645,0.02564102564102564,train
48,0,3,0,3,5,0,40,2,6,1,2337.0,0,2337.0,0.586,5203,90,0.765,0.0,0,2.25,0.15,0.0,0.05,57.81111111111111,0.025,train
52,0,2,2,1,4,0,36,3,1,3,4950.0,1829,3121.0,0.671,4529,73,0.872,0.369,0,2.0277777777777777,0.027777777777777776,0.3694949494949495,0.08333333333333333,62.04109589041096,0.08333333333333333,train
33,0,2,5,1,1,0,23,4,2,4,6732.0,0,6732.0,0.856,1644,45,0.731,0.0,0,1.9565217391304348,0.08695652173913043,0.0,0.17391304347826086,36.53333333333333,0.17391304347826086,train
39,0,2,4,2,4,0,27,4,2,2,6205.0,2517,3688.0,0.939,1204,19,0.727,0.406,0,0.7037037037037037,0.07407407407407407,0.4056406124093473,0.14814814814814814,63.36842105263158,0.07407407407407407,train
53,0,3,2,1,4,0,47,5,6,2,2759.0,2223,536.0,1.32,2093,42,1.0,0.806,0,0.8936170212765957,0.1276595744680851,0.8057267125770207,0.10638297872340426,49.833333333333336,0.0425531914893617,train
50,1,3,4,0,2,0,36,3,2,3,14409.0,511,13898.0,0.799,2351,39,0.3,0.035,1,1.0833333333333333,0.05555555555555555,0.03546394614477063,0.08333333333333333,60.282051282051285,0.08333333333333333,train
53,1,3,3,1,2,0,43,5,3,2,5264.0,2169,3095.0,0.374,1219,27,0.5,0.412,0,0.627906976744186,0.06976744186046512,0.4120440729483283,0.11627906976744186,45.148148148148145,0.046511627906976744,train
32,1,1,3,1,1,0,26,3,2,3,2576.0,1754,822.0,1.027,2880,69,0.468,0.681,0,2.6538461538461537,0.07692307692307693,0.6809006211180124,0.11538461538461539,41.73913043478261,0.11538461538461539,train
29,0,2,2,1,4,0,25,6,3,2,2732.0,1746,986.0,1.028,4702,85,0.771,0.639,0,3.4,0.12,0.6390922401171303,0.24,55.31764705882353,0.08,train
40,1,4,5,1,0,0,36,2,2,2,17606.0,1377,16229.0,0.861,8104,83,0.627,0.078,0,2.3055555555555554,0.05555555555555555,0.07821197319095763,0.05555555555555555,97.63855421686748,0.05555555555555555,train
33,0,4,0,0,4,0,24,6,2,2,9857.0,0,9857.0,0.699,3448,103,0.635,0.0,0,4.291666666666667,0.08333333333333333,0.0,0.25,33.47572815533981,0.08333333333333333,train
44,0,2,2,1,4,0,37,4,5,4,3203.0,2076,1127.0,0.543,1433,38,1.0,0.648,0,1.027027027027027,0.13513513513513514,0.6481423665313768,0.10810810810810811,37.71052631578947,0.10810810810810811,train
45,1,2,5,1,1,0,34,3,2,1,5771.0,2248,3523.0,1.791,1387,18,0.8,0.39,0,0.5294117647058824,0.058823529411764705,0.38953387627794145,0.08823529411764706,77.05555555555556,0.029411764705882353,train
36,0,1,5,2,4,0,21,3,2,1,1937.0,733,1204.0,0.826,4547,73,0.973,0.378,0,3.4761904761904763,0.09523809523809523,0.3784202374806402,0.14285714285714285,62.28767123287671,0.047619047619047616,train
58,0,3,6,0,4,0,36,2,2,3,1508.0,0,1508.0,0.458,1990,31,0.192,0.0,1,0.8611111111111112,0.05555555555555555,0.0,0.05555555555555555,64.19354838709677,0.08333333333333333,train
64,1,0,0,2,4,3,56,5,4,4,12155.0,0,12155.0,0.446,4618,60,0.875,0.0,0,1.0714285714285714,0.07142857142857142,0.0,0.08928571428571429,76.96666666666667,0.07142857142857142,train
49,0,2,0,1,4,0,35,3,3,4,3283.0,1856,1427.0,1.103,4498,64,0.829,0.565,0,1.8285714285714285,0.08571428571428572,0.5653365823941517,0.08571428571428572,70.28125,0.11428571428571428,train
40,0,4,2,1,5,0,36,3,1,2,3706.0,1043,2663.0,0.384,1688,38,0.583,0.281,0,1.0555555555555556,0.027777777777777776,0.28143550998381006,0.08333333333333333,44.421052631578945,0.05555555555555555,train
51,1,3,5,1,3,0,44,3,3,3,24028.0,0,24028.0,0.496,3531,73,0.738,0.0,0,1.6590909090909092,0.06818181818181818,0.0,0.06818181818181818,48.36986301369863,0.06818181818181818,train
55,0,1,2,1,4,0,46,6,4,3,4232.0,0,4232.0,0.878,2312,37,0.609,0.0,1,0.8043478260869565,0.08695652173913043,0.0,0.13043478260869565,62.486486486486484,0.06521739130434782,train
35,0,3,6,2,4,0,17,6,1,1,2956.0,1823,1133.0,0.969,2144,58,0.812,0.617,0,3.411764705882353,0.058823529411764705,0.6167117726657646,0.35294117647058826,36.96551724137931,0.058823529411764705,train
44,1,4,1,1,3,0,27,1,2,1,24134.0,1290,22844.0,0.814,13311,110,0.642,0.053,0,4.074074074074074,0.07407407407407407,0.05345156211154388,0.037037037037037035,121.00909090909092,0.037037037037037035,train
30,1,2,4,2,1,0,16,5,3,5,4533.0,1977,2556.0,0.664,2679,69,0.605,0.436,0,4.3125,0.1875,0.43613500992720056,0.3125,38.82608695652174,0.3125,train
37,1,1,0,2,2,0,26,6,3,2,15755.0,1410,14345.0,0.839,2061,61,0.649,0.089,0,2.3461538461538463,0.11538461538461539,0.08949539828625833,0.23076923076923078,33.78688524590164,0.07692307692307693,train
64,1,0,0,1,4,0,55,5,3,4,2492.0,1424,1068.0,0.485,1375,30,0.364,0.571,0,0.5454545454545454,0.05454545454545454,0.5714285714285714,0.09090909090909091,45.833333333333336,0.07272727272727272,train
41,0,3,0,2,5,0,36,4,2,4,4210.0,1597,2613.0,0.733,4342,72,0.674,0.379,0,2.0,0.05555555555555555,0.3793349168646081,0.1111111111111111,60.30555555555556,0.1111111111111111,train
55,1,3,0,2,0,0,36,5,3,3,12948.0,1839,11109.0,1.113,2481,42,0.68,0.142,0,1.1666666666666667,0.08333333333333333,0.14202965708989806,0.1388888888888889,59.07142857142857,0.08333333333333333,train
26,1,0,2,2,1,0,13,6,1,2,3290.0,1616,1674.0,0.466,2781,54,0.35,0.491,0,4.153846153846154,0.07692307692307693,0.4911854103343465,0.46153846153846156,51.5,0.15384615384615385,train
41,1,3,3,2,2,0,33,4,1,3,9246.0,0,9246.0,0.658,4611,91,0.569,0.0,0,2.757575757575758,0.030303030303030304,0.0,0.12121212121212122,50.67032967032967,0.09090909090909091,train
60,0,1,1,2,5,0,47,1,1,1,3803.0,1448,2355.0,0.565,4575,78,0.592,0.381,0,1.6595744680851063,0.02127659574468085,0.3807520378648435,0.02127659574468085,58.65384615384615,0.02127659574468085,train
50,1,2,6,1,2,0,43,4,3,4,3143.0,0,3143.0,0.764,2297,37,0.321,0.0,1,0.8604651162790697,0.06976744186046512,0.0,0.09302325581395349,62.08108108108108,0.09302325581395349,train
45,0,1,2,2,4,0,35,1,1,3,4977.0,1411,3566.0,0.652,4182,85,0.848,0.284,0,2.4285714285714284,0.02857142857142857,0.28350411894715694,0.02857142857142857,49.2,0.08571428571428572,train
57,1,2,6,1,0,0,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,0,0.6444444444444445,0.06666666666666667,0.0,0.1111111111111111,52.275862068965516,0.06666666666666667,train
50,0,2,6,0,4,0,36,3,2,4,2855.0,527,2328.0,0.678,3645,69,0.605,0.185,0,1.9166666666666667,0.05555555555555555,0.18458844133099825,0.08333333333333333,52.82608695652174,0.1111111111111111,train
56,0,4,4,3,4,0,49,5,3,3,4604.0,621,3983.0,0.814,4586,79,0.646,0.135,0,1.6122448979591837,0.061224489795918366,0.13488271068635968,0.10204081632653061,58.050632911392405,0.061224489795918366,train
42,0,4,4,2,4,0,36,6,2,3,1438.3,674,764.3,1.769,2451,55,1.292,0.469,0,1.5277777777777777,0.05555555555555555,0.4686087742473754,0.16666666666666666,44.56363636363636,0.08333333333333333,train
45,0,2,5,2,4,0,38,3,2,1,7486.0,1758,5728.0,0.613,4604,70,0.707,0.235,0,1.8421052631578947,0.05263157894736842,0.23483836494790275,0.07894736842105263,65.77142857142857,0.02631578947368421,train
57,1,3,2,2,1,0,48,3,3,0,9426.0,1574,7852.0,0.791,4212,75,0.531,0.167,0,1.5625,0.0625,0.16698493528538086,0.0625,56.16,0.0,train
55,1,2,0,2,3,3,45,3,1,4,34516.0,1433,33083.0,0.728,1966,31,0.55,0.042,0,0.6888888888888889,0.022222222222222223,0.04151697763356125,0.06666666666666667,63.41935483870968,0.08888888888888889,train
45,0,4,1,1,4,0,36,5,1,2,3240.0,1775,1465.0,0.754,4200,67,0.675,0.548,0,1.8611111111111112,0.027777777777777776,0.5478395061728395,0.1388888888888889,62.6865671641791,0.05555555555555555,train
48,1,2,3,1,0,0,36,3,3,3,27126.0,0,27126.0,0.953,1000,25,0.786,0.0,1,0.6944444444444444,0.08333333333333333,0.0,0.08333333333333333,40.0,0.08333333333333333,train
47,0,1,3,2,4,0,36,6,2,3,2899.0,2418,481.0,0.575,4296,68,0.838,0.834,0,1.8888888888888888,0.05555555555555555,0.8340807174887892,0.16666666666666666,63.1764705882353,0.08333333333333333,train
55,0,5,6,2,4,0,36,4,2,3,1438.3,0,1438.3,0.571,2244,54,0.929,0.0,1,1.5,0.05555555555555555,0.0,0.1111111111111111,41.55555555555556,0.08333333333333333,train
43,0,5,0,2,1,0,32,2,3,1,11508.0,0,11508.0,1.005,5242,74,0.574,0.0,1,2.3125,0.09375,0.0,0.0625,70.83783783783784,0.03125,train
32,0,0,3,1,4,0,26,6,2,3,2778.0,2312,466.0,0.727,1680,33,1.062,0.832,0,1.2692307692307692,0.07692307692307693,0.8322534197264219,0.23076923076923078,50.90909090909091,0.11538461538461539,train
57,0,1,3,1,5,0,36,5,2,3,1734.0,980,754.0,0.639,4313,92,0.917,0.565,0,2.5555555555555554,0.05555555555555555,0.5651672433679354,0.1388888888888889,46.880434782608695,0.08333333333333333,train
55,1,3,2,1,2,0,49,3,1,4,5668.0,2517,3151.0,0.704,3382,56,0.931,0.444,0,1.1428571428571428,0.02040816326530612,0.44407198306280876,0.061224489795918366,60.392857142857146,0.08163265306122448,train
45,1,3,2,1,1,0,40,1,4,3,7979.0,0,7979.0,0.465,5056,63,0.853,0.0,1,1.575,0.1,0.0,0.025,80.25396825396825,0.075,train
40,1,3,5,2,3,0,27,4,2,3,3427.0,0,3427.0,0.5,2625,63,0.5,0.0,1,2.3333333333333335,0.07407407407407407,0.0,0.14814814814814814,41.666666666666664,0.1111111111111111,train
50,0,2,3,0,5,0,39,5,2,4,9716.0,874,8842.0,0.775,5007,91,0.655,0.09,0,2.3333333333333335,0.05128205128205128,0.08995471387402224,0.1282051282051282,55.02197802197802,0.10256410256410256,train
47,1,3,5,0,2,0,41,2,3,3,1943.0,0,1943.0,0.494,5108,81,0.884,0.0,0,1.975609756097561,0.07317073170731707,0.0,0.04878048780487805,63.06172839506173,0.07317073170731707,train
48,0,2,2,1,4,0,31,5,1,1,2315.0,1565,750.0,0.873,4828,90,0.8,0.676,0,2.903225806451613,0.03225806451612903,0.6760259179265659,0.16129032258064516,53.644444444444446,0.03225806451612903,train
52,0,3,1,2,5,0,36,3,2,1,24703.0,1085,23618.0,0.998,4776,63,0.575,0.044,0,1.75,0.05555555555555555,0.043921790875602156,0.08333333333333333,75.80952380952381,0.027777777777777776,train
54,0,4,3,2,1,0,48,2,4,1,3089.0,1177,1912.0,1.01,5237,75,0.829,0.381,0,1.5625,0.08333333333333333,0.38102945937196503,0.041666666666666664,69.82666666666667,0.020833333333333332,train
45,0,2,3,0,5,0,36,6,4,3,17156.0,2517,14639.0,0.717,1142,33,0.32,0.147,1,0.9166666666666666,0.1111111111111111,0.1467125204010259,0.16666666666666666,34.60606060606061,0.08333333333333333,train
65,1,1,6,1,1,0,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,0,0.48148148148148145,0.037037037037037035,0.17449147883452445,0.1111111111111111,50.53846153846154,0.05555555555555555,train
48,1,4,2,2,1,0,36,5,2,3,7514.0,0,7514.0,0.514,4789,69,0.408,0.0,0,1.9166666666666667,0.05555555555555555,0.0,0.1388888888888889,69.40579710144928,0.08333333333333333,train
52,1,4,0,2,3,3,41,1,1,2,34516.0,1701,32815.0,0.715,7707,99,0.5,0.049,0,2.4146341463414633,0.024390243902439025,0.04928149264109399,0.024390243902439025,77.84848484848484,0.04878048780487805,train
